,Place,Points,Name,PDGA#,Rating,Par,Rd1,Unnamed: 7,Rd2,Unnamed: 9,Rd3,Unnamed: 11,Finals,Unnamed: 13,Total,Prize,event,Rd4,Unnamed: 4,Unnamed: 6,Unnamed: 8,Semis,Unnamed: 10,Unnamed: 12,Prize (USD),Rd5,Rd6,Unnamed: 14,Rd7,Unnamed: 16,Rd8,Unnamed: 18,Unnamed: 20,Unnamed: 22,Unnamed: 5,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Unnamed: 24
50,49,880.0,Ty Love,89959.0,1004.0,-14,58,984.0,51.0,1058.0,58.0,1005.0,63.0,983.0,230,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
51,52,850.0,Parker Welck,39491.0,974.0,-13,56,1002.0,52.0,1050.0,59.0,997.0,64.0,975.0,231,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
52,53,840.0,Nate Perkins,65737.0,1009.0,-12,55,1010.0,56.0,1016.0,57.0,1013.0,64.0,975.0,232,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
53,53,840.0,Maximus Meyer,49865.0,981.0,-12,58,984.0,57.0,1008.0,55.0,1030.0,62.0,990.0,232,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
54,53,840.0,Vincent Polidori,81039.0,1003.0,-12,54,1019.0,60.0,983.0,55.0,1030.0,63.0,983.0,232,$400,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
55,56,810.0,Austin Hannum,68835.0,1023.0,-11,51,1045.0,61.0,975.0,58.0,1005.0,63.0,983.0,233,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
56,57,800.0,Sias Elmore,57425.0,1012.0,-10,53,1028.0,60.0,983.0,55.0,1030.0,66.0,959.0,234,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
57,57,800.0,Isaac Bentley,89065.0,975.0,-10,55,1010.0,56.0,1016.0,59.0,997.0,64.0,975.0,234,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
58,59,780.0,Steve Berger,28091.0,978.0,E,55,1010.0,56.0,1016.0,59.0,997.0,74.0,898.0,244,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
59,60,770.0,Tyler Swanson,70601.0,971.0,-11,53,1028.0,63.0,958.0,55.0,1030.0,,,171,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
60,60,770.0,Jeremy Novak,68696.0,996.0,-11,61,958.0,53.0,1041.0,57.0,1013.0,,,171,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
61,60,770.0,Chris Shotwell,41918.0,1000.0,-11,58,984.0,56.0,1016.0,57.0,1013.0,,,171,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
62,60,770.0,Cameron Messerschmidt,58814.0,1015.0,-11,58,984.0,54.0,1033.0,59.0,997.0,,,171,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
63,64,730.0,Cary Trotter,19147.0,995.0,-10,56,1002.0,56.0,1016.0,60.0,989.0,,,172,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
64,64,730.0,Gregg Barsby,15857.0,1022.0,-10,57,993.0,58.0,1000.0,57.0,1013.0,,,172,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
65,64,730.0,Luke Samson,59419.0,993.0,-10,58,984.0,56.0,1016.0,58.0,1005.0,,,172,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
66,64,730.0,J.C. Kester,36777.0,998.0,-10,52,1036.0,59.0,992.0,61.0,981.0,,,172,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
67,64,730.0,Emerson Keith,47472.0,1024.0,-10,55,1010.0,60.0,983.0,57.0,1013.0,,,172,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
68,64,730.0,Nate Metzler,41220.0,1000.0,-10,60,967.0,54.0,1033.0,58.0,1005.0,,,172,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
69,70,670.0,Alexander Lyon,80636.0,1000.0,-9,55,1010.0,57.0,1008.0,61.0,981.0,,,173,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
70,70,670.0,Kyle Griffin,67149.0,1003.0,-9,54,1019.0,58.0,1000.0,61.0,981.0,,,173,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
71,70,670.0,Trevor Harbolt,26860.0,1009.0,-9,58,984.0,59.0,992.0,56.0,1022.0,,,173,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
72,73,640.0,Justin Gilbert,85457.0,1003.0,-8,59,976.0,56.0,1016.0,59.0,997.0,,,174,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
73,73,640.0,AJ Carey,61770.0,1007.0,-8,58,984.0,58.0,1000.0,58.0,1005.0,,,174,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
74,73,640.0,Luke Humphries,69424.0,1017.0,-8,58,984.0,55.0,1025.0,61.0,981.0,,,174,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
75,73,640.0,John Willis II,23844.0,993.0,-8,54,1019.0,59.0,992.0,61.0,981.0,,,174,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
76,77,600.0,Louis LaPorta,49094.0,994.0,-7,58,984.0,61.0,975.0,56.0,1022.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
77,77,600.0,Tim Skellenger,26269.0,1010.0,-7,57,993.0,58.0,1000.0,60.0,989.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
78,77,600.0,Dan Schlitter,80219.0,1003.0,-7,54,1019.0,61.0,975.0,60.0,989.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
79,77,600.0,Justin Bilodeau,45478.0,1021.0,-7,56,1002.0,57.0,1008.0,62.0,973.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
80,77,600.0,Kesler Martin,88497.0,1011.0,-7,57,993.0,59.0,992.0,59.0,997.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
81,77,600.0,Jacob McDaniel,79978.0,977.0,-7,56,1002.0,63.0,958.0,56.0,1022.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
82,77,600.0,Kyle Divelbiss,104419.0,980.0,-7,58,984.0,56.0,1016.0,61.0,981.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
83,77,600.0,Tim Barham,53332.0,1019.0,-7,58,984.0,57.0,1008.0,60.0,989.0,,,175,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
84,85,520.0,Kade Filimoehala,104984.0,1002.0,-6,55,1010.0,63.0,958.0,58.0,1005.0,,,176,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
85,86,510.0,Chris Brooks,13978.0,964.0,-5,55,1010.0,60.0,983.0,62.0,973.0,,,177,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
86,87,500.0,Gavin Rathbun,60436.0,1028.0,-4,58,984.0,59.0,992.0,61.0,981.0,,,178,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
87,88,490.0,Logan Riding,74221.0,996.0,-3,59,976.0,63.0,958.0,57.0,1013.0,,,179,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
88,88,490.0,Colton Bates,43369.0,988.0,-3,58,984.0,58.0,1000.0,63.0,965.0,,,179,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
89,88,490.0,Mason Foltz,84401.0,984.0,-3,55,1010.0,62.0,967.0,62.0,973.0,,,179,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
90,88,490.0,Koy Blanchard,100086.0,980.0,-3,56,1002.0,61.0,975.0,62.0,973.0,,,179,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
91,88,490.0,Jeremy Herr,56486.0,1009.0,-3,55,1010.0,60.0,983.0,64.0,956.0,,,179,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
92,93,440.0,Zack Finwall,89111.0,972.0,-2,61,958.0,59.0,992.0,60.0,989.0,,,180,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
93,93,440.0,William Schram,127314.0,970.0,-2,58,984.0,62.0,967.0,60.0,989.0,,,180,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
94,93,440.0,Mike Lassuy,25645.0,1023.0,-2,57,993.0,61.0,975.0,62.0,973.0,,,180,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
95,96,410.0,Jarod Gogal,72409.0,1015.0,-1,59,976.0,63.0,958.0,59.0,997.0,,,181,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
96,96,410.0,Joey Temali,100818.0,976.0,-1,58,984.0,57.0,1008.0,66.0,940.0,,,181,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
97,96,410.0,Jason Hebenheimer,43762.0,991.0,-1,60,967.0,61.0,975.0,60.0,989.0,,,181,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
98,99,380.0,Joey Nichols,103115.0,911.0,E,63,941.0,58.0,1000.0,61.0,981.0,,,182,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
99,99,380.0,James Moore,31452.0,1004.0,E,59,976.0,63.0,958.0,60.0,989.0,,,182,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
100,101,360.0,Brandon Hauer,55021.0,969.0,+1,56,1002.0,64.0,950.0,63.0,965.0,,,183,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
101,101,360.0,Douglas Ferrio,89662.0,980.0,+1,57,993.0,60.0,983.0,66.0,940.0,,,183,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
102,101,360.0,Aidan Guthrie,96832.0,983.0,+1,57,993.0,63.0,958.0,63.0,965.0,,,183,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
103,101,360.0,Christopher Robbins,109674.0,1001.0,+1,60,967.0,61.0,975.0,62.0,973.0,,,183,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
104,101,360.0,Kaleb Caplin,109666.0,977.0,+1,64,932.0,58.0,1000.0,61.0,981.0,,,183,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
105,106,310.0,Tristan Tanner,99053.0,1005.0,+2,62,949.0,60.0,983.0,62.0,973.0,,,184,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
106,106,310.0,Billy Armstrong,77543.0,977.0,+2,58,984.0,63.0,958.0,63.0,965.0,,,184,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
107,106,310.0,A.J. Herr,56485.0,998.0,+2,59,976.0,58.0,1000.0,67.0,932.0,,,184,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
108,106,310.0,Donovan Smith,49649.0,999.0,+2,58,984.0,62.0,967.0,64.0,956.0,,,184,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
109,110,270.0,Chris Nelson,78697.0,1017.0,+4,59,976.0,65.0,942.0,62.0,973.0,,,186,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
110,110,270.0,Jeremy Farnsworth,78805.0,984.0,+4,57,993.0,62.0,967.0,67.0,932.0,,,186,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
111,110,270.0,Landen Mortensen,119084.0,985.0,+4,57,993.0,65.0,942.0,64.0,956.0,,,186,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
112,110,270.0,Tyler Schrock,71872.0,991.0,+4,57,993.0,63.0,958.0,66.0,940.0,,,186,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
113,114,230.0,Rick Mabbatt,97168.0,951.0,+5,56,1002.0,67.0,925.0,64.0,956.0,,,187,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
114,114,230.0,Connor Rock,73695.0,972.0,+5,68,897.0,62.0,967.0,57.0,1013.0,,,187,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
115,114,230.0,Josh Miller,62910.0,984.0,+5,59,976.0,66.0,933.0,62.0,973.0,,,187,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
116,117,200.0,Sean Kapalko,19453.0,986.0,+6,60,967.0,66.0,933.0,62.0,973.0,,,188,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
117,117,200.0,Andrew Rosta,67245.0,974.0,+6,66,915.0,59.0,992.0,63.0,965.0,,,188,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
118,117,200.0,Shawn Sullivan,46190.0,974.0,+6,60,967.0,69.0,909.0,59.0,997.0,,,188,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
119,120,170.0,Jake Schlagheck,23143.0,983.0,+7,62,949.0,62.0,967.0,65.0,948.0,,,189,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
120,120,170.0,Josiah Griffin,90955.0,967.0,+7,59,976.0,64.0,950.0,66.0,940.0,,,189,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
121,122,150.0,Joshua Johnson,96436.0,992.0,+8,60,967.0,62.0,967.0,68.0,924.0,,,190,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
122,122,150.0,Corey Dryden,29812.0,978.0,+8,62,949.0,56.0,1016.0,72.0,891.0,,,190,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
123,124,130.0,Cam Tyler Rico,28560.0,962.0,+9,68,897.0,63.0,958.0,60.0,989.0,,,191,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
124,125,120.0,Steven Derochie,73363.0,990.0,+10,62,949.0,66.0,933.0,64.0,956.0,,,192,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
125,125,120.0,Graham Russell,37909.0,996.0,+10,63,941.0,65.0,942.0,64.0,956.0,,,192,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
126,125,120.0,Sean Tapley,87506.0,967.0,+10,60,967.0,65.0,942.0,67.0,932.0,,,192,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
127,125,120.0,Alex Schimmelpfenning,37507.0,986.0,+10,62,949.0,65.0,942.0,65.0,948.0,,,192,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
128,129,80.0,Jamalle Castillo,49514.0,974.0,+12,62,949.0,61.0,975.0,71.0,899.0,,,194,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
129,129,80.0,Austin Spradlin,51740.0,979.0,+12,62,949.0,63.0,958.0,69.0,916.0,,,194,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
130,131,60.0,Josh Bergquist,72478.0,967.0,+14,64,932.0,67.0,925.0,65.0,948.0,,,196,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
131,132,50.0,Wyatt Merritt,51603.0,963.0,+19,61,958.0,69.0,909.0,71.0,899.0,,,201,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
132,133,40.0,Chris Bates,35265.0,964.0,+21,67,906.0,65.0,942.0,71.0,899.0,,,203,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
133,134,0.0,Tristan Lucerne,77246.0,976.0,,54,1019.0,66.0,933.0,999.0,,,,DNF,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
134,134,0.0,Noah Meintsma,56555.0,1018.0,,61,958.0,61.0,975.0,999.0,,,,DNF,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
135,134,0.0,Shea Callahan,36806.0,995.0,,54,1019.0,60.0,983.0,999.0,,,,DNF,,Las Vegas Challenge,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1320.0,Nikko Locastro,11534.0,1030.0,-26,54,1062.0,54.0,1064.0,55.0,1049.0,,,163,"$5,000",Waco Annual Charity Open,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1310.0,Cale Leiviska,24341.0,1033.0,-23,59,1026.0,53.0,1072.0,54.0,1057.0,,,166,"$3,500",Waco Annual Charity Open,,,,,,,,,,,,,,,,,,,,,,,,
